email,time_homework,time_lectures,module,time_homework_homework-01b,time_lectures_homework-01b,module_homework-01b,time_homework_homework-02,time_lectures_homework-02,module_homework-02,time_homework_homework-03,time_lectures_homework-03,module_homework-03,time_homework_homework-04,time_lectures_homework-04,module_homework-04,time_homework_homework-05,time_lectures_homework-05,module_homework-05,time_homework_homework-06,time_lectures_homework-06,module_homework-06,time_homework_homework-piperider,module_homework-piperider,time_evaluate,module_project-01-eval,time_project,module_project-01-submissions,time_evaluate_project-02-eval,module_project-02-eval,time_project_project-02-submissions,module_project-02-submissions,user_id
004196f25f57ede80b8423a1014cffb568a43c05,0.0,0.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0057be33c73f694dfbb728998ca7b493938881e2,2.0,4.0,homework-01a,1.0,1.0,homework-01b,5.0,3.0,homework-02,2.0,3.0,homework-03,5.0,5.0,homework-04,2.0,2.0,homework-05,,,,,,,,,,,,,,2
005960be775ffddfdbf73c778de746abafaa9eaf,6.0,3.0,homework-01a,3.0,2.0,homework-01b,12.0,6.0,homework-02,16.0,16.0,homework-03,12.0,12.0,homework-04,8.0,12.0,homework-05,0.0,0.0,homework-06,,,,,,,2.3333333333333335,project-02-eval,48.0,project-02-submissions,3
00977e24db381130c42b095059201a9ebd9b419d,2.0,0.0,homework-01a,0.0,0.0,homework-01b,4.0,2.0,homework-02,0.0,0.0,homework-03,,,,,,,,,,,,,,,,,,,,4
00feb7a79203803ed7c041297d4d2d77bb5dc1c4,1.0,3.0,homework-01a,,,,5.0,15.0,homework-02,3.0,4.0,homework-03,,,,,,,,,,,,3.5,project-01-eval,72.0,project-01-submissions,,,,,5
01958912f9c91aaa0d2fc0f001708f78f17b8788,3.0,10.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
01b35fbc7de799666a23fa596639ea94de3b659c,3.0,6.0,homework-01a,3.0,6.0,homework-01b,4.0,6.0,homework-02,0.5,2.0,homework-03,,,,,,,,,,,,,,,,,,,,7
01bac44d8a583ccd34bd803f3cc245ef591cb8a6,2.0,18.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
01ca726e63fa4cb3ca7c0c9eace9dfaa3ff10b8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,project-02-eval,30.0,project-02-submissions,9
01dbc88fcd158be4bc64c405eee95185658402c7,5.0,2.0,homework-01a,1.0,2.0,homework-01b,5.0,5.0,homework-02,6.0,3.0,homework-03,30.0,10.0,homework-04,1.0,6.0,homework-05,,,,,,3.3333333333333335,project-01-eval,20.0,project-01-submissions,,,,,10
01e34b0574ca4f0653e3b3c8a85fa6f82690f683,3.0,3.0,homework-01a,,,,1.0,6.0,homework-02,0.0,0.0,homework-03,0.0,0.0,homework-04,0.0,0.0,homework-05,,,,3.0,homework-piperider,0.5,project-01-eval,24.0,project-01-submissions,,,,,11
01fe6c2bf71c9d8ea25038fb21344ebb8d5a40eb,2.0,8.0,homework-01a,3.0,8.0,homework-01b,,,,,,,,,,,,,,,,,,,,40.0,project-01-submissions,,,,,12
022c97eec87a5ca5c692fe86cc9ca8dc5ec5a953,4.0,2.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
02819eaf8c776edd75a5ad041195b1adbbcf9097,15.0,15.0,homework-01a,15.0,15.0,homework-01b,20.0,10.0,homework-02,9.0,5.0,homework-03,20.0,24.0,homework-04,7.0,8.0,homework-05,8.0,10.0,homework-06,,,,,,,,,,,14
0311a2284a1a31ff84631e9014f3766c3aa44db0,0.0,0.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
035421c061f26a09f094545d68f23b28649facc7,,,,2.0,3.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,16
03a62e0e2b895008f94c58f162b7ce90e464b4c5,2.0,10.0,homework-01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
03b68c3027c4fe2d28f4f2d0d7a4d20943cea599,2.0,3.0,homework-01a,0.0,0.0,homework-01b,6.0,6.0,homework-02,1.0,1.0,homework-03,4.0,2.0,homework-04,2.0,3.0,homework-05,,,,,,1.1666666666666667,project-01-eval,35.0,project-01-submissions,,,,,18
040da1f256be092448c7e0c1661f06be27591483,4.0,2.0,homework-01a,2.0,2.0,homework-01b,6.0,3.0,homework-02,3.0,2.0,homework-03,10.0,6.0,homework-04,2.0,2.0,homework-05,8.0,4.0,homework-06,,,,,,,1.0,project-02-eval,50.0,project-02-submissions,19
045d84f9fe4e49b2fccfd0c331ea2b3404d01ac3,4.0,6.0,homework-01a,2.0,48.0,homework-01b,,,,,,,,,,,,,,,,,,,,,,,,,,20
