email,hw-01a,hw-01b,hw-02,hw-03,hw-04,hw-05,hw-06,hw-piperider,project-01,project-02,total
,,,,,,,,,,,
f4d8ea9549ada13483c122cb792d176672040681,9.0,2.0,14.0,15.0,13.0,14.0,10.0,7.0,53.0,0.0,137.0
727988f8a5004b1cbdd7e17990fe96553f41be05,8.0,2.0,13.0,14.0,13.0,14.0,8.0,7.0,0.0,55.0,134.0
ce7184efd2ca8b68b956a1a996a7f335d20eeefd,8.0,2.0,14.0,15.0,13.0,14.0,10.0,0.0,0.0,55.0,131.0
636d3fa0090cfd4b22aeb4f3e7fe431274a2d6e8,14.0,2.0,14.0,14.0,13.0,14.0,10.0,0.0,0.0,48.0,129.0
f195960cbe1c5d7123005c36a4f8cbd9315e4a23,7.0,2.0,14.0,15.0,13.0,14.0,0.0,7.0,0.0,54.0,126.0
1eb5e0f2ada39d3b764a6e63d1915b3cfddffb83,8.0,2.0,8.0,8.0,7.0,8.0,3.0,0.0,39.0,37.0,120.0
3b4f201e6a1c3b2566008c66556608cb9a32e7c8,7.0,2.0,12.0,15.0,12.0,14.0,0.0,0.0,0.0,52.0,114.0
8f7803c2429475be44bf39e5f3b89b6fede17240,8.0,2.0,8.0,8.0,7.0,8.0,3.0,0.0,35.0,34.0,113.0
e5dc14bef66a24181f85f6e2399005c75842e01e,8.0,0.0,13.0,13.0,10.0,14.0,3.0,7.0,44.0,0.0,112.0
acefbcffee893a9f9aac392088ec27845ab84322,9.0,2.0,11.0,11.0,10.0,11.0,5.0,6.0,47.0,0.0,112.0
dfb7f9d02fd37ab31357dc9953360e0cf3baf8a6,7.0,1.0,8.0,10.0,8.0,12.0,7.0,5.0,40.0,0.0,98.0
6efd52c58c08b54cc5c8d24ee177b900ed5e9860,6.0,2.0,10.0,11.0,11.0,13.0,9.0,0.0,36.0,0.0,98.0
d2c581083d5f0d84b6312e613f84c8d2b60c944c,6.0,1.0,7.0,9.0,7.0,8.0,9.0,0.0,46.0,0.0,93.0
ff752c71673fba28347e705cc17edabfeac3fec9,0.0,0.0,7.0,11.0,12.0,13.0,8.0,6.0,0.0,35.0,92.0
0ac2b48ea91ec555b3a53887a6237b0acaad7b90,5.0,0.0,6.0,5.0,5.0,6.0,2.0,0.0,27.0,35.0,91.0
37ee242cc0136ec47502c8e5af75086a2e9a239b,8.0,2.0,8.0,9.0,7.0,8.0,4.0,5.0,39.0,0.0,90.0
b180b6728137ad17acca059b09351126c10e48e4,6.0,1.0,10.0,8.0,9.0,8.0,1.0,0.0,42.0,0.0,85.0
a0d7986399040bf82c865a13081e0fb87cd11ca1,8.0,2.0,13.0,15.0,13.0,14.0,11.0,7.0,0.0,0.0,83.0
3dd622575278dc0c0bc69633204769873127df43,7.0,2.0,9.0,9.0,8.0,8.0,3.0,3.0,0.0,34.0,83.0
8d83a4576392cf1a2452c4b9f6ffae8b47a7eb2a,7.0,2.0,7.0,8.0,7.0,7.0,5.0,4.0,35.0,0.0,82.0
2c03147686d3670e5a5769514edb070ce0d11bca,9.0,1.0,8.0,9.0,7.0,8.0,3.0,0.0,37.0,0.0,82.0
5a6723f02fd571b03134b6285c163c8ea61be0c2,8.0,2.0,6.0,7.0,5.0,6.0,0.0,0.0,17.0,30.0,81.0
d4e8942672831760bfc9b6bbf3c03503d3d27a31,6.0,2.0,8.0,8.0,7.0,9.0,1.0,0.0,0.0,39.0,80.0
b7f0de0abc18688fbe66987150815b5479d833b9,7.0,2.0,7.0,9.0,5.0,8.0,5.0,0.0,0.0,37.0,80.0
40d118c54729fae7ebe0a435275b29016d6466e2,7.0,2.0,8.0,10.0,8.0,9.0,3.0,0.0,33.0,0.0,80.0
b184fdb2324b73c04b78379e31221b2a5cc0544a,7.0,1.0,9.0,9.0,7.0,8.0,7.0,0.0,31.0,0.0,79.0
615482d0f6efd840d7788756caeb1237486dcd4e,7.0,2.0,7.0,7.0,7.0,7.0,4.0,0.0,0.0,38.0,79.0
12f101a34e32fc4e76040ad0be477392035c43cb,7.0,2.0,7.0,8.0,6.0,7.0,3.0,0.0,39.0,0.0,79.0
b5d4cde2160818cc9e1e0e1dddb11806a030c9bb,7.0,2.0,8.0,8.0,7.0,7.0,3.0,0.0,36.0,0.0,78.0
88f4369efa78b1998caafefb8f20bd471fe1f247,8.0,2.0,6.0,8.0,5.0,8.0,3.0,2.0,0.0,36.0,78.0
fbd7c94e3b9ad8a87aeac6839d98fb1de8e53a6e,13.0,2.0,13.0,15.0,13.0,14.0,7.0,0.0,0.0,0.0,77.0
f4bda9b645bae336697691c0c20820d10f0e78a3,6.0,1.0,7.0,8.0,6.0,6.0,4.0,3.0,35.0,0.0,76.0
e1d296199e03e910558f2ffe1a346d237203bd4b,7.0,2.0,7.0,8.0,6.0,7.0,4.0,0.0,0.0,35.0,76.0
e5aa496257a2d86cd19775d6348218f523d0edcf,5.0,2.0,7.0,7.0,6.0,7.0,2.0,0.0,39.0,0.0,75.0
a20fdb7b2c001ac9cf14de72f7b388b2df82d132,7.0,2.0,8.0,8.0,0.0,7.0,3.0,5.0,0.0,35.0,75.0
94c2eee7b8c4c8f1a7990fd68cea4db19e4a2d5c,8.0,2.0,8.0,8.0,6.0,8.0,0.0,0.0,35.0,0.0,75.0
63a38f627c2a07915a4d2ac4be0e04aec5fa6244,7.0,2.0,6.0,8.0,6.0,7.0,2.0,0.0,37.0,0.0,75.0
b62cbf5ce3d5a2abc08526e7c30f738ab756a539,7.0,1.0,8.0,9.0,7.0,8.0,2.0,0.0,32.0,0.0,74.0
7e188d6b8be7dd9e5e587968802a527f206772d4,6.0,2.0,7.0,6.0,6.0,7.0,3.0,0.0,37.0,0.0,74.0
3cf547ec7e26305be0460ffe5438ca82a86fbb6e,7.0,2.0,7.0,7.0,6.0,7.0,0.0,0.0,38.0,0.0,74.0
2656fe31b339288ac8ab955afb68c99c7c7ff411,7.0,2.0,7.0,8.0,6.0,7.0,3.0,0.0,34.0,0.0,74.0
e221600fcf3e6b662fb50cf97d71e4ab34ff07ca,7.0,1.0,7.0,8.0,6.0,7.0,3.0,0.0,34.0,0.0,73.0
a3f4cee8f3698c28a18e4dabfb01b4c9fc35d3ef,6.0,1.0,7.0,8.0,6.0,7.0,0.0,4.0,34.0,0.0,73.0
9f1000a7780bd9ab99b76dcbda4f8867ec293ba9,7.0,1.0,6.0,7.0,5.0,7.0,5.0,0.0,35.0,0.0,73.0
4f0aef03e57ae8092ade0caba8dd9f3347827983,7.0,2.0,7.0,8.0,6.0,7.0,0.0,0.0,36.0,0.0,73.0
0e128afdb5ba48c479cb72d26574064129cfa239,6.0,2.0,8.0,8.0,5.0,8.0,3.0,0.0,33.0,0.0,73.0
08afe7c4abef321c2f6b56f308057de1e9935d48,7.0,1.0,7.0,7.0,5.0,7.0,2.0,3.0,34.0,0.0,73.0
8212a834c6d334576a2f9bf6b769e354c2a3bf4a,8.0,2.0,8.0,7.0,5.0,6.0,0.0,0.0,0.0,36.0,72.0
6a40f4caa9ee5677c5e39854eccf7fd413bd0579,7.0,2.0,7.0,8.0,6.0,7.0,5.0,0.0,0.0,30.0,72.0
3fd8023f4997e99ab567cde71568be812e16198a,6.0,1.0,6.0,6.0,5.0,5.0,3.0,3.0,0.0,37.0,72.0
083886ec72f4de0839bcbe1902cc3f1bd82d19c7,7.0,2.0,7.0,7.0,5.0,8.0,2.0,0.0,34.0,0.0,72.0
edc4ab4ba8a4797eb23b59c7867214ad27def783,6.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,46.0,0.0,71.0
c7ab5e9ef3f1c435394f5b00fbc0bf711eaa4161,6.0,1.0,6.0,7.0,5.0,6.0,2.0,3.0,35.0,0.0,71.0
95b11d856bde7bed1fae0bbcb51f31425f582970,7.0,2.0,9.0,10.0,8.0,0.0,0.0,0.0,0.0,35.0,71.0
9131cd9a26c57fe56d52106040bac361e0841af0,8.0,2.0,7.0,8.0,5.0,6.0,0.0,0.0,0.0,35.0,71.0
87d1019f6cbb97cf5c523159b53fc2e2c9bf0665,7.0,2.0,7.0,8.0,3.0,7.0,2.0,0.0,0.0,35.0,71.0
49ef6959eae65ce2cc6aa584f8ee6145c36dd1ce,6.0,1.0,6.0,7.0,5.0,6.0,2.0,3.0,35.0,0.0,71.0
21f32d7cc911a730d4154142f2b8ed7e7dc75c30,7.0,2.0,7.0,8.0,6.0,6.0,5.0,0.0,0.0,30.0,71.0
efad5ebe2d041459809540ca27558b40a69d282b,6.0,2.0,6.0,7.0,5.0,6.0,3.0,0.0,0.0,35.0,70.0
d5f4ecef26257503a87edca286049c50e2435679,7.0,1.0,7.0,8.0,6.0,7.0,0.0,0.0,34.0,0.0,70.0
d27bf500dfebabc789418dd48720574cdba18912,6.0,1.0,6.0,7.0,5.0,6.0,4.0,0.0,35.0,0.0,70.0
